,business_id,caption,label,photo_id,class_names_label,path,image
72397,LHrfnMF1_jECj5N7YVUB_Q,,food,_D0trJNKc7YYtDu06w7EwQ,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_D0trJNKc7YYtDu06w7EwQ.jpg,"[[[212 217 223]
  [213 218 224]
  [213 220 226]
  ...
  [142 129  74]
  [165 129  93]
  [163 115  95]]

 [[212 221 226]
  [213 222 227]
  [214 223 228]
  ...
  [129 120  89]
  [139 109  98]
  [154 110 109]]

 [[209 224 229]
  [210 225 230]
  [212 225 231]
  ...
  [160 155 135]
  [149 125 125]
  [136 100 102]]

 ...

 [[142 152 162]
  [142 150 161]
  [139 147 158]
  ...
  [ 72  72  74]
  [ 69  69  71]
  [ 68  68  70]]

 [[147 157 167]
  [145 155 165]
  [142 152 162]
  ...
  [ 84  83  81]
  [ 81  80  78]
  [ 79  78  76]]

 [[149 162 171]
  [147 160 169]
  [145 155 165]
  ...
  [ 92  91  87]
  [ 88  87  83]
  [ 86  85  81]]]"
72447,8PaMGALpL7FwwdUy7eK4ZA,,food,_8UHlYEw1FpU3Z9Fp623oA,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_8UHlYEw1FpU3Z9Fp623oA.jpg,"[[[ 25  16  17]
  [ 24  15  16]
  [ 23  14  15]
  ...
  [164 110  63]
  [160 108  60]
  [158 106  58]]

 [[ 19  14  18]
  [ 18  13  17]
  [ 17  12  16]
  ...
  [169 111  71]
  [165 107  67]
  [161 106  65]]

 [[ 16  11  15]
  [ 16  11  15]
  [ 15  10  14]
  ...
  [171 111  75]
  [168 108  72]
  [165 107  70]]

 ...

 [[176 111  73]
  [174 109  69]
  [178 113  73]
  ...
  [ 82  57  52]
  [ 71  50  47]
  [ 62  43  39]]

 [[175 110  72]
  [173 108  70]
  [177 112  72]
  ...
  [ 92  61  58]
  [ 83  53  51]
  [ 75  47  44]]

 [[174 109  71]
  [172 107  69]
  [176 111  71]
  ...
  [ 97  60  51]
  [ 88  54  45]
  [ 81  48  39]]]"
72482,DeXwyJFF1ubjyQH7zXPxCg,,food,_5gouWk6WHZOnA_UYH3CWg,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_5gouWk6WHZOnA_UYH3CWg.jpg,"[[[ 45  35  36]
  [ 51  42  37]
  [ 43  36  18]
  ...
  [118  91  62]
  [ 99  72  45]
  [ 71  45  20]]

 [[ 43  24  26]
  [ 42  27  20]
  [ 36  23   6]
  ...
  [ 91  62  32]
  [100  71  37]
  [ 90  64  29]]

 [[ 49  21  20]
  [ 45  20  15]
  [ 41  22   7]
  ...
  [ 96  65  34]
  [102  72  34]
  [101  72  30]]

 ...

 [[ 19  15  12]
  [ 17  12   9]
  [ 21  16  12]
  ...
  [ 31  24  16]
  [ 30  23  15]
  [ 29  22  14]]

 [[ 17  13  10]
  [ 15  11   8]
  [ 20  15  11]
  ...
  [ 28  23  17]
  [ 27  22  16]
  [ 28  21  15]]

 [[ 17  13  10]
  [ 16  12   9]
  [ 21  16  12]
  ...
  [ 24  19  13]
  [ 23  18  12]
  [ 24  17  11]]]"
72521,K7lWdNUhCbcnEvI0NhGewg,,food,_5zF6IlVW5FvPlw_8Br4IQ,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_5zF6IlVW5FvPlw_8Br4IQ.jpg,"[[[ 93  62  42]
  [ 91  60  39]
  [ 90  59  38]
  ...
  [ 36  20   7]
  [ 37  23  12]
  [ 38  26  14]]

 [[116  88  64]
  [115  88  61]
  [110  83  54]
  ...
  [ 37  21   8]
  [ 38  22   7]
  [ 39  23   8]]

 [[ 84  59  29]
  [ 97  72  42]
  [109  84  53]
  ...
  [ 37  21   5]
  [ 40  23   5]
  [ 46  25   8]]

 ...

 [[130  84  32]
  [137  91  39]
  [142  96  44]
  ...
  [ 75  39   3]
  [ 95  56  17]
  [106  64  22]]

 [[140  92  43]
  [139  91  42]
  [136  90  38]
  ...
  [ 89  51  15]
  [106  67  26]
  [117  76  32]]

 [[147 101  51]
  [141  95  45]
  [136  90  40]
  ...
  [ 86  48  11]
  [104  62  22]
  [112  69  26]]]"
72671,vuXz17TgImV6_VNYwFkKYg,,food,_AnMC0V3VF_tXh3hbW7bGQ,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_AnMC0V3VF_tXh3hbW7bGQ.jpg,"[[[ 52  38  51]
  [ 57  52  49]
  [ 54  52  40]
  ...
  [126 121 118]
  [134 129 133]
  [139 129 153]]

 [[ 50  43  37]
  [ 60  52  50]
  [ 60  51  52]
  ...
  [125 119 131]
  [132 121 135]
  [134 120 133]]

 [[ 39  39  15]
  [ 54  46  43]
  [ 66  50  61]
  ...
  [126 121 144]
  [132 117 136]
  [135 117 115]]

 ...

 [[ 78  83  76]
  [ 75  76  81]
  [ 85  81  98]
  ...
  [ 62  62  64]
  [ 72  72  80]
  [ 82  79  98]]

 [[ 69  77  79]
  [ 69  74  78]
  [ 86  84  95]
  ...
  [ 61  61  69]
  [ 72  69  86]
  [ 82  77 100]]

 [[ 72  80  91]
  [ 71  76  82]
  [ 82  83  87]
  ...
  [ 62  61  75]
  [ 72  69  88]
  [ 83  75  96]]]"
73176,MT-lkIacLNyC7KF2dY997A,,outside,PWez2ZZrqR5YJPKQtb1Usg,4,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/PWez2ZZrqR5YJPKQtb1Usg.jpg,"[[[ 74  52  55]
  [ 61  40  45]
  [ 40  25  30]
  ...
  [255 254 252]
  [255 254 252]
  [255 254 252]]

 [[ 99  77  79]
  [ 95  75  76]
  [ 72  58  58]
  ...
  [254 254 254]
  [254 254 252]
  [254 254 252]]

 [[113  94  90]
  [113  94  90]
  [103  88  85]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ...

 [[ 26  21  17]
  [ 27  13  12]
  [ 33  11  13]
  ...
  [116 107 110]
  [ 86  77  80]
  [ 44  35  38]]

 [[ 24  21  14]
  [ 24  15  10]
  [ 30  10  11]
  ...
  [110 101 104]
  [103  94  97]
  [ 89  80  83]]

 [[ 22  22  14]
  [ 26  17  12]
  [ 27   9   7]
  ...
  [ 90  81  84]
  [ 94  85  88]
  [ 95  86  89]]]"
73305,9HWCSPtMP2tU_cTDsEU1Cw,Vegetarian bun,food,_CI-4finkhgDkk1eZOm2KA,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_CI-4finkhgDkk1eZOm2KA.jpg,"[[[174 180 178]
  [174 180 178]
  [172 178 176]
  ...
  [142 147 150]
  [ 59  67  70]
  [  3  11  14]]

 [[175 181 179]
  [174 180 178]
  [173 179 177]
  ...
  [128 133 136]
  [ 68  73  77]
  [ 23  31  34]]

 [[176 182 180]
  [175 181 179]
  [174 180 178]
  ...
  [103 108 111]
  [ 82  87  90]
  [ 73  78  81]]

 ...

 [[126  97  83]
  [132 100  85]
  [135 102  83]
  ...
  [166 147 133]
  [178 159 145]
  [170 151 137]]

 [[131  97  70]
  [141 105  79]
  [149 112  85]
  ...
  [167 148 134]
  [179 160 146]
  [171 152 138]]

 [[148 113  73]
  [153 115  78]
  [150 110  75]
  ...
  [176 157 143]
  [189 170 156]
  [181 162 148]]]"
73354,2zkMnvtLRvnSeHqVb96ung,Foreground: Black Angus (1855) Burger with mixed salad and slaw/dill pickle $16 + HST.,food,_7OKu_Fun5BczlL_CbKjMw,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_7OKu_Fun5BczlL_CbKjMw.jpg,"[[[ 68  41  92]
  [ 92  82 106]
  [ 82  70  70]
  ...
  [ 41  55  84]
  [  0   7  10]
  [  0   3  10]]

 [[ 58  36  83]
  [ 97  83 106]
  [ 79  61  59]
  ...
  [ 30  41  71]
  [  0   6  17]
  [  0   2  14]]

 [[ 70  55  98]
  [106  88 110]
  [141 110 108]
  ...
  [ 14  20  54]
  [  2   4  25]
  [  2   0  22]]

 ...

 [[ 75  62  88]
  [ 79  68 100]
  [ 82  74 111]
  ...
  [ 60  26  42]
  [ 57  23  37]
  [ 53  19  33]]

 [[ 75  59  85]
  [ 78  65  93]
  [ 82  72 107]
  ...
  [ 55  21  37]
  [ 52  18  34]
  [ 48  14  30]]

 [[ 76  61  84]
  [ 77  63  89]
  [ 80  69 103]
  ...
  [ 51  17  33]
  [ 48  14  31]
  [ 44  10  27]]]"
73467,Mq1_dvcg5mbeplEmCEoUtQ,Pomodoro,food,_-lXDgvbvxMCGpLBw-wLbA,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_-lXDgvbvxMCGpLBw-wLbA.jpg,"[[[220 204 168]
  [212 196 171]
  [221 203 193]
  ...
  [178 171 161]
  [185 180 176]
  [195 191 192]]

 [[206 187 144]
  [204 183 152]
  [206 185 168]
  ...
  [199 189 177]
  [198 191 185]
  [198 193 190]]

 [[184 160 112]
  [188 162 125]
  [189 163 136]
  ...
  [201 188 171]
  [199 187 175]
  [198 187 181]]

 ...

 [[242 222 198]
  [243 223 199]
  [244 224 200]
  ...
  [255 233 196]
  [255 233 196]
  [254 232 195]]

 [[241 221 196]
  [242 222 197]
  [243 223 198]
  ...
  [254 232 195]
  [254 232 195]
  [253 231 194]]

 [[240 220 195]
  [241 221 196]
  [242 222 197]
  ...
  [253 231 194]
  [253 231 194]
  [252 230 193]]]"
73784,9KmvrnyjWTr4sly0Dt770g,Crepe,food,_4NuZHEXTptwRiD2_Rk83w,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_4NuZHEXTptwRiD2_Rk83w.jpg,"[[[ 43  29  20]
  [ 51  32  17]
  [ 54  33  16]
  ...
  [ 30  12  34]
  [ 97  85 107]
  [233 227 239]]

 [[ 77  40  24]
  [ 87  52  24]
  [ 92  60  22]
  ...
  [ 27   9  21]
  [107  95 109]
  [161 154 162]]

 [[134  74  40]
  [141  90  43]
  [128  88  29]
  ...
  [ 89  69  68]
  [ 53  38  41]
  [  7   0   0]]

 ...

 [[128 121 128]
  [129 122 129]
  [125 118 126]
  ...
  [ 50  29   8]
  [ 44  25  18]
  [ 35  19  19]]

 [[122 115 122]
  [124 117 124]
  [122 115 123]
  ...
  [ 25  13   1]
  [ 22  12  10]
  [ 19  10  13]]

 [[120 110 118]
  [124 114 122]
  [119 112 120]
  ...
  [ 10   9   4]
  [ 12  14   9]
  [ 16  16  16]]]"
73927,hihud--QRriCYZw1zZvW4g,,food,_8qfNTZksrfPJ1hGfrK8_g,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_8qfNTZksrfPJ1hGfrK8_g.jpg,"[[[  0   7  13]
  [  0   0  28]
  [  4   4  40]
  ...
  [ 20  12  23]
  [ 20  15  19]
  [ 14  10   7]]

 [[ 18   2   5]
  [ 10   0  11]
  [  5   0  11]
  ...
  [ 44  35  26]
  [ 47  39  26]
  [ 44  37  21]]

 [[ 52   0   2]
  [ 61  22  15]
  [ 37  11   0]
  ...
  [ 54  47  19]
  [ 56  46  21]
  [ 49  37  13]]

 ...

 [[164  27   8]
  [165  31   6]
  [166  32   3]
  ...
  [174 151  84]
  [164 143  98]
  [ 61  49  23]]

 [[159  31   6]
  [161  33   6]
  [164  33   3]
  ...
  [180 152  89]
  [168 144 100]
  [ 53  38  15]]

 [[157  31   6]
  [156  35   6]
  [163  34   3]
  ...
  [197 165 108]
  [187 159 120]
  [ 61  44  26]]]"
74028,7sb2FYLS2sejZKxRYF9mtg,,food,_aEJkjUa7wmKS-Z_75UoNA,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_aEJkjUa7wmKS-Z_75UoNA.jpg,"[[[255 187 132]
  [244 189 148]
  [231 188 156]
  ...
  [227 201 210]
  [188 160 185]
  [202 170 207]]

 [[255 193 138]
  [248 193 152]
  [236 192 157]
  ...
  [236 207 209]
  [223 195 210]
  [220 191 211]]

 [[255 195 143]
  [249 196 152]
  [239 195 158]
  ...
  [230 201 193]
  [235 206 211]
  [196 167 172]]

 ...

 [[196 142  98]
  [185 132  82]
  [126  73  19]
  ...
  [144 126 124]
  [199 178 175]
  [228 204 200]]

 [[197 139  99]
  [186 130  79]
  [126  71  14]
  ...
  [231 207 205]
  [222 194 190]
  [207 176 171]]

 [[200 141 101]
  [190 132  82]
  [129  73  14]
  ...
  [222 194 191]
  [217 186 181]
  [215 181 172]]]"
74051,f3K2hJ2sJBCtyc1M6O2jpw,,food,_0FVLkCouItpcoqIGCwG6A,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_0FVLkCouItpcoqIGCwG6A.jpg,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 253]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 253]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 253]
  [255 255 253]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
74156,ks8XsTMTungCk-HUtZleYg,fresh juice,inside,_8Rgz5SD0jas7qb2B3-2TQ,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_8Rgz5SD0jas7qb2B3-2TQ.jpg,"[[[ 77  56  35]
  [ 70  49  28]
  [102  81  60]
  ...
  [ 85  73  51]
  [ 86  74  52]
  [ 92  79  60]]

 [[ 68  48  23]
  [ 70  50  25]
  [ 70  50  25]
  ...
  [110  98  76]
  [109  97  75]
  [111  99  77]]

 [[ 76  57  27]
  [ 92  73  43]
  [ 92  73  43]
  ...
  [116 104  82]
  [116 104  82]
  [116 104  82]]

 ...

 [[ 45  16   0]
  [ 48  16   1]
  [ 47  16   0]
  ...
  [134  95  64]
  [102  65  36]
  [104  67  41]]

 [[ 54  22   1]
  [ 55  23   2]
  [ 55  20   0]
  ...
  [128  89  58]
  [101  64  37]
  [107  71  47]]

 [[ 58  23   1]
  [ 62  26   4]
  [ 58  22   0]
  ...
  [119  80  49]
  [ 97  60  33]
  [108  74  49]]]"
74276,q3oJ6bNRV3OoJrwc95GOwg,,inside,_6rIhOhgp1miPuMryaY4nw,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_6rIhOhgp1miPuMryaY4nw.jpg,"[[[ 78  72  58]
  [ 63  58  55]
  [ 50  47  56]
  ...
  [ 55  50  44]
  [ 55  50  44]
  [ 54  49  43]]

 [[ 81  75  61]
  [ 75  70  67]
  [ 61  58  67]
  ...
  [ 54  49  43]
  [ 54  49  43]
  [ 54  49  43]]

 [[ 73  69  57]
  [ 80  76  73]
  [ 79  76  83]
  ...
  [ 53  48  42]
  [ 54  49  43]
  [ 54  49  43]]

 ...

 [[ 15  13  14]
  [ 15  15  15]
  [ 16  16  18]
  ...
  [  7   5   8]
  [ 60  58  61]
  [ 79  77  80]]

 [[ 16  12  11]
  [ 15  14  12]
  [ 16  14  15]
  ...
  [ 14  14  16]
  [ 81  81  83]
  [115 116 120]]

 [[ 16  11   8]
  [ 16  12  11]
  [ 17  13  12]
  ...
  [  3   7  10]
  [ 72  76  79]
  [108 112 115]]]"
74870,aeXwUDNI4e7NRQpRpHN-Rw,,food,_CYRyaVoXBwipxWhJSeTdw,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_CYRyaVoXBwipxWhJSeTdw.jpg,"[[[36 34 37]
  [35 33 36]
  [34 32 35]
  ...
  [50 42 39]
  [47 39 36]
  [46 38 35]]

 [[37 35 38]
  [36 34 37]
  [35 33 36]
  ...
  [49 41 38]
  [46 38 35]
  [44 36 33]]

 [[38 36 39]
  [37 35 38]
  [36 34 37]
  ...
  [49 41 38]
  [45 37 34]
  [42 34 31]]

 ...

 [[67 63 62]
  [71 67 66]
  [72 68 67]
  ...
  [61 52 47]
  [60 51 46]
  [59 50 45]]

 [[67 63 62]
  [72 68 67]
  [74 70 69]
  ...
  [61 52 47]
  [61 52 47]
  [60 51 46]]

 [[64 63 61]
  [70 69 67]
  [73 72 70]
  ...
  [62 53 48]
  [62 53 48]
  [61 52 47]]]"
75057,GC5wcui5uejRZTi8OCNPkQ,,inside,_8qXpxkbvA8ZHhjLiPGXPQ,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_8qXpxkbvA8ZHhjLiPGXPQ.jpg,"[[[ 22   2   0]
  [  6   5   0]
  [  0  10   3]
  ...
  [ 10   5   1]
  [  4   4   2]
  [  3   4   8]]

 [[ 19  13   0]
  [ 13  18  12]
  [  5  20  27]
  ...
  [ 97  70  40]
  [106  89  61]
  [116 101  80]]

 [[ 13  11  12]
  [ 17  15  20]
  [ 18  16  29]
  ...
  [255 205 147]
  [255 229 176]
  [255 246 202]]

 ...

 [[  1   1   3]
  [  1   1   3]
  [  1   1   3]
  ...
  [ 79  76  61]
  [ 79  77  64]
  [ 79  77  64]]

 [[  1   1   3]
  [  1   1   3]
  [  1   1   3]
  ...
  [ 67  61  45]
  [ 68  62  46]
  [ 68  65  50]]

 [[  1   1   3]
  [  1   1   3]
  [  1   1   3]
  ...
  [ 55  48  30]
  [ 58  51  33]
  [ 60  53  35]]]"
75400,pmoIMK8zGWvKsVOPDBYfzg,,drink,_A5LGjyuzjxbnZcQPYLg3Q,0,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_A5LGjyuzjxbnZcQPYLg3Q.jpg,"[[[  9   5   2]
  [ 10   5   1]
  [ 14   5   0]
  ...
  [  7   4   0]
  [  8   5   0]
  [  8   5   0]]

 [[ 12   7   3]
  [ 12   4   1]
  [ 14   5   0]
  ...
  [  8   5   0]
  [  9   6   1]
  [ 10   7   2]]

 [[ 14   9   5]
  [ 14   6   3]
  [ 14   5   0]
  ...
  [  7   4   0]
  [  8   5   0]
  [  9   6   1]]

 ...

 [[153 137 104]
  [156 140 107]
  [157 141 108]
  ...
  [147 136 108]
  [143 132 104]
  [139 128 100]]

 [[157 138 106]
  [141 122  90]
  [129 110  78]
  ...
  [146 135 107]
  [141 130 102]
  [137 126  98]]

 [[146 127  95]
  [116  97  65]
  [ 98  79  47]
  ...
  [144 133 105]
  [140 129 101]
  [136 125  97]]]"
75458,56Ll9rqG2WxXj4X2pmlkHQ,Strawberry Lemonade,drink,_AJgsL1-yq3I4913IwdpbA,0,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_AJgsL1-yq3I4913IwdpbA.jpg,"[[[ 20  21  26]
  [ 23  24  29]
  [ 21  22  24]
  ...
  [ 54  53  51]
  [ 49  49  47]
  [ 47  47  45]]

 [[ 28  29  34]
  [ 29  30  34]
  [ 24  25  27]
  ...
  [ 75  74  72]
  [ 69  69  67]
  [ 64  64  62]]

 [[ 27  28  33]
  [ 27  28  32]
  [ 21  22  24]
  ...
  [ 95  96  91]
  [ 90  90  88]
  [ 85  85  83]]

 ...

 [[132  97  65]
  [128  90  54]
  [127  83  44]
  ...
  [147 118  88]
  [142 115  86]
  [139 112  85]]

 [[143 111  72]
  [142 105  63]
  [143 100  55]
  ...
  [183 158 128]
  [182 156 129]
  [181 157 131]]

 [[148 118  68]
  [148 112  60]
  [151 110  54]
  ...
  [178 156 115]
  [180 158 119]
  [180 160 123]]]"
75982,qXoVYptJRQg6Jt7NLvGv-A,Inside Opa Life,inside,_886XjUEfK9QsDP2irsAig,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_886XjUEfK9QsDP2irsAig.jpg,"[[[118  78  53]
  [111  78  59]
  [ 53  29  17]
  ...
  [ 93  67  66]
  [ 96  62  53]
  [ 95  55  47]]

 [[107  67  42]
  [117  84  65]
  [ 46  22  10]
  ...
  [ 93  69  67]
  [ 96  63  56]
  [ 96  57  50]]

 [[106  65  43]
  [110  77  58]
  [ 65  41  29]
  ...
  [ 94  73  72]
  [ 88  59  53]
  [ 82  47  41]]

 ...

 [[ 29  14  11]
  [ 27  12   9]
  [ 30  15  12]
  ...
  [ 60  21   4]
  [ 79  41  22]
  [101  65  43]]

 [[ 30  15  12]
  [ 27  12   9]
  [ 29  14  11]
  ...
  [ 90  44  21]
  [105  55  30]
  [135  84  55]]

 [[ 32  14  12]
  [ 27  11  11]
  [ 29  13  13]
  ...
  [142  88  62]
  [133  74  44]
  [150  87  54]]]"
76048,A4zLP5AyKEEHQr_dWEZKig,Spicy Cigars,food,_-ewk-g2aG6y71cYWe1yFQ,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_-ewk-g2aG6y71cYWe1yFQ.jpg,"[[[ 44  23   2]
  [ 44  21   3]
  [ 62  39  21]
  ...
  [ 84  48  34]
  [ 76  38  25]
  [ 91  51  41]]

 [[ 46  23  17]
  [ 43  21   8]
  [ 54  32   8]
  ...
  [125  96  66]
  [ 92  61  33]
  [ 80  48  23]]

 [[ 41  18  28]
  [ 46  23  17]
  [ 53  34   4]
  ...
  [104  81  50]
  [ 77  51  24]
  [ 67  41  16]]

 ...

 [[111  88  57]
  [111  89  48]
  [112  94  44]
  ...
  [109  86  54]
  [109  86  52]
  [108  86  49]]

 [[110  87  56]
  [111  89  48]
  [111  93  45]
  ...
  [109  86  54]
  [109  86  52]
  [108  86  49]]

 [[110  86  58]
  [111  89  48]
  [110  92  44]
  ...
  [109  86  54]
  [108  85  51]
  [106  86  49]]]"
76067,yZZIs-9_AqoHXb2Z6g26kQ,Cooked seafood. Highly recommend the mussels!,food,_78Fp8UAlHX4p6boLEcCIw,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_78Fp8UAlHX4p6boLEcCIw.jpg,"[[[193 186 193]
  [237 238 242]
  [242 255 255]
  ...
  [246 244 249]
  [247 245 250]
  [247 246 251]]

 [[188 177 185]
  [236 234 239]
  [247 255 255]
  ...
  [213 206 213]
  [221 216 222]
  [232 227 233]]

 [[189 171 183]
  [238 228 237]
  [254 255 255]
  ...
  [222 211 219]
  [222 211 219]
  [221 210 218]]

 ...

 [[251 234 242]
  [249 232 240]
  [248 231 239]
  ...
  [251 240 246]
  [251 242 247]
  [252 243 248]]

 [[249 232 240]
  [248 231 239]
  [247 230 238]
  ...
  [250 237 244]
  [251 239 243]
  [251 240 246]]

 [[247 230 238]
  [246 229 237]
  [246 229 237]
  ...
  [250 235 242]
  [251 236 241]
  [250 238 242]]]"
76566,Ol-IE8GDY3GVxUZbJiMZXQ,Broccoli Beef,food,_0MGQwk0O0WZ7cpG_vshXw,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_0MGQwk0O0WZ7cpG_vshXw.jpg,"[[[ 21  33  29]
  [ 25  34  31]
  [ 32  34  31]
  ...
  [ 47  37  38]
  [ 47  37  38]
  [ 47  36  40]]

 [[ 24  33  30]
  [ 29  33  32]
  [ 34  34  32]
  ...
  [ 48  40  38]
  [ 48  40  38]
  [ 46  41  38]]

 [[ 32  32  32]
  [ 34  32  33]
  [ 38  34  33]
  ...
  [ 47  42  36]
  [ 47  44  37]
  [ 47  44  37]]

 ...

 [[213 201 189]
  [227 199 195]
  [216 171 174]
  ...
  [194  76 136]
  [ 84  38  64]
  [ 44  36  47]]

 [[203 207 192]
  [218 197 192]
  [208 163 168]
  ...
  [108  40  79]
  [ 57  29  43]
  [ 44  42  45]]

 [[201 218 200]
  [229 216 208]
  [232 187 194]
  ...
  [ 56  18  43]
  [ 45  33  37]
  [ 44  46  41]]]"
77426,Bh8qt5P8MmhEEu_qRLz7EQ,,food,_0dy3161N104aMNk2JTFjw,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_0dy3161N104aMNk2JTFjw.jpg,"[[[ 35  24  28]
  [ 38  26  30]
  [ 41  29  33]
  ...
  [215 203 181]
  [215 204 184]
  [170 159 141]]

 [[ 37  25  27]
  [ 39  27  31]
  [ 43  28  33]
  ...
  [197 183 170]
  [175 163 151]
  [133 123 111]]

 [[ 40  25  28]
  [ 41  26  29]
  [ 45  29  30]
  ...
  [115 104 102]
  [ 89  79  78]
  [ 66  56  55]]

 ...

 [[137  74  41]
  [139  76  45]
  [133  73  45]
  ...
  [212 144  95]
  [210 142  93]
  [208 142  90]]

 [[172  89  49]
  [166  82  46]
  [155  72  42]
  ...
  [195 113  55]
  [197 113  53]
  [195 114  51]]

 [[226 121  76]
  [211 105  65]
  [193  89  54]
  ...
  [240 144  70]
  [242 144  69]
  [244 146  71]]]"
77767,P7pxQFqr7yBKMMI2J51udw,,drink,_-Lyjp0fG2eo17907BDHOQ,0,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_-Lyjp0fG2eo17907BDHOQ.jpg,"[[[ 43  19  15]
  [ 45  14  22]
  [ 63  21  33]
  ...
  [ 70  34  18]
  [ 69  33  19]
  [ 69  33  19]]

 [[ 37  15  17]
  [ 38   7  22]
  [ 54  13  29]
  ...
  [ 74  38  22]
  [ 73  37  23]
  [ 72  36  22]]

 [[ 39  15  28]
  [ 38   6  27]
  [ 49  12  30]
  ...
  [ 76  38  25]
  [ 74  36  23]
  [ 72  36  22]]

 ...

 [[139  57  33]
  [118  36  12]
  [114  33   4]
  ...
  [111  31   8]
  [ 98  21   3]
  [ 99  25  12]]

 [[128  48  25]
  [115  33   9]
  [114  33   6]
  ...
  [114  33  12]
  [ 99  22   6]
  [ 99  25  14]]

 [[118  38  15]
  [112  32   7]
  [115  33   9]
  ...
  [115  37  17]
  [100  22   9]
  [ 99  25  16]]]"
78066,GU7ww3eoGTcXAze8VJtC7g,Cantonese Celebration Lobster & Noodles,food,_cD19hYWRZgjIpqzyJTUTA,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_cD19hYWRZgjIpqzyJTUTA.jpg,"[[[34 16 14]
  [31 13  9]
  [40 23 16]
  ...
  [47 30 20]
  [43 29 18]
  [41 27 18]]

 [[36 18 16]
  [31 13  9]
  [35 20 13]
  ...
  [48 31 21]
  [44 30 19]
  [42 28 19]]

 [[35 20 17]
  [32 17 12]
  [35 20 13]
  ...
  [49 32 22]
  [45 31 20]
  [42 28 19]]

 ...

 [[53 38 41]
  [47 32 35]
  [49 34 37]
  ...
  [42 29 23]
  [40 23 16]
  [40 21 14]]

 [[48 36 40]
  [46 34 36]
  [48 36 38]
  ...
  [41 28 22]
  [39 22 15]
  [39 20 13]]

 [[45 33 37]
  [46 34 38]
  [50 38 42]
  ...
  [40 27 21]
  [38 21 14]
  [38 19 12]]]"
